,testGroup,device,operatingSystem,userAgentClass,browser,browserVersion,screenWidth,screenHeight,users,sessions,pis,accPis,greenLcpPis,yellowLcpPis,redLcpPis,addToCartEvents,conversions,browserGrouped,osGrouped
0,A,Desktop,Windows NT,Browser,Chrome,117,1920,1080,28343,34369,103354,39047,50101,13522,13941,5587,1168,Chrome,Windows NT
1,B,Desktop,Windows NT,Browser,Chrome,117,1920,1080,28142,33473,98892,203,44713,14379,13638,5545,1235,Chrome,Windows NT
2,A,Mobile,iOS,Browser,Safari,16.6,1170,2532,40204,50031,98415,14984,0,0,0,4485,946,Safari,iOS
3,B,Mobile,iOS,Browser,Safari,16.6,1170,2532,40644,50670,98014,6,0,0,0,4334,918,Safari,iOS
4,A,Mobile,Android,Browser,Chrome,117,1080,2400,22868,28429,59146,22054,30309,7334,9316,1534,275,Chrome,Android
5,B,Mobile,Android,Browser,Chrome,117,1080,2400,22999,28548,58831,183,28545,8020,9945,1536,258,Chrome,Android
6,B,Mobile,iOS,Browser,Safari,16.6,1284,2778,17843,22281,45068,1,0,0,0,2435,430,Safari,iOS
7,A,Mobile,iOS,Browser,Safari,16.6,1284,2778,17527,21755,43875,6918,0,0,0,2375,429,Safari,iOS
8,B,Mobile,iOS,Browser,Safari,16.6,828,1792,14155,17672,33535,3,0,0,0,1359,261,Safari,iOS
9,A,Mobile,iOS,Browser,Safari,16.6,828,1792,13769,17215,32932,4788,0,0,0,1345,291,Safari,iOS
10,B,Mobile,Android,Browser,Chrome,117,1080,2340,11933,14763,31908,88,15094,4832,5704,1134,188,Chrome,Android
11,A,Mobile,Android,Browser,Chrome,117,1080,2340,11974,14779,31657,11722,16246,4378,4982,1114,183,Chrome,Android
12,A,Desktop,Windows NT,Browser,Edge,117,1920,1080,7993,9325,24586,8091,12045,3610,3991,1398,319,Edge,Windows NT
13,B,Desktop,Windows NT,Browser,Edge,117,1920,1080,7973,9389,24236,60,10903,4261,4162,1356,305,Edge,Windows NT
14,B,Mobile,iOS,Browser,Safari,16.6,1290,2796,9303,11630,23976,2,0,0,0,1348,247,Safari,iOS
15,B,Mobile,iOS,Browser,Safari,16.6,1125,2436,9364,11630,23629,1,0,0,0,1083,201,Safari,iOS
16,B,Mobile,Android,Browser,Chrome,117,1081,2401,8814,10929,23622,84,10907,3730,4441,893,174,Chrome,Android
17,A,Mobile,iOS,Browser,Safari,16.6,1125,2436,9419,11770,23490,3646,0,0,0,1108,218,Safari,iOS
18,A,Mobile,iOS,Browser,Safari,17.0.1,1170,2532,9502,11998,23377,4115,0,0,0,1014,157,Safari,iOS
19,B,Mobile,iOS,Browser,Safari,17.0.1,1170,2532,9583,12015,23222,2,0,0,0,819,140,Safari,iOS
20,A,Mobile,iOS,Browser,Safari,16.6,1290,2796,9146,11481,23154,3759,0,0,0,1237,245,Safari,iOS
21,A,Mobile,Android,Browser,Chrome,117,1081,2401,8594,10625,23124,8314,11582,3261,3988,817,160,Chrome,Android
22,B,Mobile,iOS,Browser,Safari,16.6,1179,2556,8910,11078,22293,3,0,0,0,1045,232,Safari,iOS
23,A,Mobile,iOS,Browser,Safari,16.6,1179,2556,8866,11015,21959,3457,0,0,0,1041,242,Safari,iOS
24,B,Desktop,Mac OS,Browser,Chrome,117,2880,1800,5885,6873,19583,60,10244,2763,2148,1191,280,Chrome,Mac OS
25,A,Desktop,Mac OS,Browser,Chrome,117,2880,1800,5716,6761,19094,6777,10763,2386,1996,1128,268,Chrome,Mac OS
26,A,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1170,2532,7008,9254,19094,3661,0,0,0,857,157,Chrome iOS,iOS
27,B,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1170,2532,7103,9425,18808,1,0,0,0,781,140,Chrome iOS,iOS
28,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1080,2400,9896,10610,18252,98,12127,1904,2270,519,64,Chrome Webview,Android
29,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1080,2400,10060,10749,18249,5803,12530,1761,2094,483,57,Chrome Webview,Android
30,A,Mobile,iOS,Browser,Safari,17.0,1170,2532,6786,8502,16016,2710,0,0,1,508,80,Safari,iOS
31,B,Mobile,iOS,Browser,Safari,17.0,1170,2532,6801,8396,15634,1,0,0,0,505,93,Safari,iOS
32,A,Desktop,Windows NT,Browser,Chrome,117,1366,768,4489,5429,15401,5707,6479,2089,2835,699,127,Chrome,Windows NT
33,B,Desktop,Windows NT,Desktop App,OpenWebMonitor4,4.5.2,3840,2160,1,2,14941,0,25,0,0,0,0,OpenWebMonitor4,Windows NT
34,B,Desktop,Windows NT,Browser,Chrome,117,1366,768,4520,5388,14652,27,5630,2221,3040,662,114,Chrome,Windows NT
35,B,Mobile,iOS,Browser,Safari,17.0.1,1290,2796,5353,6640,13805,2,0,0,0,676,97,Safari,iOS
36,A,Mobile,iOS,Browser,Safari,17.0.1,1179,2556,5418,6788,13781,2575,0,0,0,548,112,Safari,iOS
37,A,Mobile,iOS,Browser,Safari,17.0.1,1290,2796,5253,6663,13531,2405,0,0,0,676,120,Safari,iOS
38,B,Mobile,iOS,Browser,Safari,17.0.1,1179,2556,5407,6701,13313,0,0,0,0,575,125,Safari,iOS
39,A,Mobile,Android,Browser,Chrome,117,1080,2401,4891,6069,13151,4838,6495,1863,2188,434,68,Chrome,Android
40,B,Mobile,Android,Browser,Chrome,117,1080,2401,4836,5960,12734,27,5834,1973,2291,427,73,Chrome,Android
41,B,Mobile,iOS,Browser,Safari,17.0.1,1284,2778,4834,5952,12122,1,0,0,0,554,92,Safari,iOS
42,A,Mobile,iOS,Browser,Safari,17.0.1,1284,2778,4752,5981,11708,1975,0,0,0,547,73,Safari,iOS
43,A,Mobile,iOS,Browser,Safari,16.1,1170,2532,4562,5569,10851,3022,0,0,0,450,98,Safari,iOS
44,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1080,2340,5536,5964,10613,3574,7296,1135,1180,351,51,Chrome Webview,Android
45,B,Mobile,iOS,Browser,Safari,16.1,1170,2532,4652,5623,10451,7,0,0,0,407,90,Safari,iOS
46,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1080,2340,5498,5940,10416,49,6778,1295,1284,349,49,Chrome Webview,Android
47,A,Mobile,Android,Browser,Chrome,117,721,1601,4070,4900,9954,3249,3146,1858,2552,267,49,Chrome,Android
48,B,Mobile,Android,Browser,Chrome,117,721,1601,3980,4811,9850,28,2898,1952,2729,259,37,Chrome,Android
49,A,Mobile,Android,Browser,Chrome,117,1081,2341,3436,4236,9368,3279,4538,1426,1633,401,59,Chrome,Android
50,A,Mobile,iOS,Browser,Safari,16.6,750,1334,3645,4562,8891,1327,0,0,0,351,83,Safari,iOS
51,B,Mobile,Android,Browser,Chrome,117,1081,2341,3396,4141,8811,23,4058,1475,1572,285,56,Chrome,Android
52,A,Mobile,Android,Browser,Chrome,117,1080,2317,3008,3802,8573,3102,4809,1125,1258,391,73,Chrome,Android
53,B,Mobile,Android,Browser,Chrome,117,1080,2317,3021,3792,8521,41,4457,1341,1317,444,80,Chrome,Android
54,B,Mobile,iOS,Browser,Safari,16.6,750,1334,3564,4373,8213,2,0,0,0,273,69,Safari,iOS
55,A,Desktop,Windows NT,Browser,Chrome,117,2560,1440,1761,2154,8077,3342,3803,797,687,543,108,Chrome,Windows NT
56,A,Mobile,iOS,Browser,Safari,16.3,1170,2532,3253,3933,7972,2176,0,0,0,354,77,Safari,iOS
57,B,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1284,2778,2829,3792,7835,2,0,0,0,405,83,Chrome iOS,iOS
58,A,Mobile,iOS,Browser,Safari,17.0.1,1242,2208,4210,4466,7766,1310,0,0,0,330,52,Safari,iOS
59,B,Mobile,iOS,Browser,Safari,16.3,1170,2532,3361,4060,7752,5,0,0,0,380,61,Safari,iOS
60,B,Mobile,iOS,Browser,Safari,16.6,1242,2688,3064,3880,7695,0,0,0,0,394,60,Safari,iOS
61,A,Mobile,iOS,Browser,Safari,17.0,1284,2778,3085,3865,7635,1389,0,0,0,339,48,Safari,iOS
62,B,Mobile,iOS,Browser,Safari,17.0,1284,2778,3137,3866,7512,1,0,0,0,289,51,Safari,iOS
63,A,Mobile,iOS,Browser,Safari,16.6,1242,2688,3028,3859,7488,1168,0,0,0,381,65,Safari,iOS
64,B,Desktop,Windows NT,Browser,Chrome,117,2560,1440,1758,2115,7388,16,3456,928,750,470,114,Chrome,Windows NT
65,B,Mobile,iOS,Browser,Safari,17.0.1,1242,2208,4115,4289,7245,0,0,0,0,297,62,Safari,iOS
66,A,Desktop,Linux,Browser,Chrome,101.0.4951.64,1400,900,124,124,7214,6050,5357,589,1003,0,0,Chrome,Linux
67,B,Desktop,Linux,Browser,Chrome,101.0.4951.64,1400,900,118,118,7175,0,4141,1088,1650,0,0,Chrome,Linux
68,A,Desktop,Mac OS,Browser,Chrome,116,2880,1800,2113,2478,7000,2510,3848,886,820,450,119,Chrome,Mac OS
69,A,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1284,2778,2714,3497,6920,1162,0,0,0,347,59,Chrome iOS,iOS
70,A,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1081,2401,3485,3781,6761,2195,4415,766,855,263,29,Chrome Webview,Android
71,A,Desktop,Windows NT,Browser,Chrome,116,1920,1080,1997,2385,6753,2302,3128,967,1095,439,105,Chrome,Windows NT
72,B,Desktop,Mac OS,Browser,Chrome,116,2880,1800,2094,2451,6728,23,3529,1046,887,468,129,Chrome,Mac OS
73,B,Mobile,Android,Browser Webview,Chrome Webview,117.0.0.0,1081,2401,3568,3840,6626,35,4224,881,872,236,37,Chrome Webview,Android
74,B,Desktop,Windows NT,Browser,Chrome,116,1920,1080,1914,2281,6271,15,2782,991,1036,396,97,Chrome,Windows NT
75,A,Desktop,Windows NT,Browser,Firefox,118.0,1920,1080,1983,2269,6254,1991,2,0,12,329,76,Firefox,Windows NT
76,B,Mobile,iOS,Browser,Safari,16.0,1170,2532,2704,3373,6125,7,0,0,0,190,29,Safari,iOS
77,A,Mobile,iOS,Browser,Safari,16.0,1170,2532,2676,3302,6125,1643,0,0,0,222,41,Safari,iOS
78,B,Desktop,Windows NT,Browser,Firefox,118.0,1920,1080,1881,2193,6029,14,5,4,17,310,82,Firefox,Windows NT
79,A,Mobile,iOS,Browser,Safari,17.0,1290,2796,2379,2929,5994,1057,0,0,0,306,60,Safari,iOS
80,B,Mobile,iOS,Browser,Safari,17.0,1290,2796,2383,2953,5883,0,0,0,0,263,49,Safari,iOS
81,B,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1179,2556,2066,2799,5757,0,0,0,0,278,50,Chrome iOS,iOS
82,A,Mobile,iOS,Browser,Safari,17.0,1179,2556,2176,2733,5718,1144,0,0,0,261,48,Safari,iOS
83,B,Mobile,Android,Browser,Chrome,117,1080,2412,2178,2703,5593,20,2890,693,757,145,27,Chrome,Android
84,A,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1290,2796,1977,2679,5533,1103,0,0,0,256,45,Chrome iOS,iOS
85,A,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,828,1792,2201,2948,5491,893,0,0,0,180,41,Chrome iOS,iOS
86,A,Mobile,Android,Browser,Chrome,117,720,1600,2336,2777,5485,1729,1658,1181,1205,83,7,Chrome,Android
87,B,Mobile,iOS,Browser,Safari,17.0.1,828,1792,2302,2892,5483,0,0,0,0,183,16,Safari,iOS
88,A,Mobile,iOS,Browser,Safari,17.0.1,828,1792,2291,2842,5477,965,0,0,0,179,23,Safari,iOS
89,B,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,828,1792,2189,2846,5447,1,0,0,0,184,39,Chrome iOS,iOS
90,B,Mobile,iOS,Browser,Safari,17.0,1179,2556,2218,2795,5400,1,0,0,0,237,44,Safari,iOS
91,B,Mobile,Android,Browser,Chrome,117,720,1600,2369,2788,5378,16,1495,1116,1284,74,10,Chrome,Android
92,B,Mobile,iOS,Browser,Safari,17.0,828,1792,2225,2788,5338,0,0,0,0,127,24,Safari,iOS
93,A,Mobile,Android,Browser,Chrome,117,1081,2317,1876,2353,5333,1895,2913,712,870,286,40,Chrome,Android
94,B,Mobile,Android,Browser,SamsungBrowser,22.0,1080,2340,2219,2690,5298,22,2550,766,951,236,49,SamsungBrowser,Android
95,A,Mobile,Android,Browser,Chrome,117,1080,2412,2096,2682,5242,2023,2678,631,678,124,29,Chrome,Android
96,B,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1290,2796,1934,2586,5228,0,0,0,0,269,51,Chrome iOS,iOS
97,A,Mobile,iOS,Browser,Chrome iOS,117.0.5938.117,1179,2556,1971,2542,5196,939,0,0,0,247,59,Chrome iOS,iOS
98,A,Mobile,iOS,Browser,Safari,17.0,828,1792,2237,2805,5184,818,0,0,0,154,19,Safari,iOS
99,B,Mobile,Android,Browser,Chrome,117,1081,2317,1784,2251,5111,13,2529,828,854,236,43,Chrome,Android
